category,author,url,title,author_latin,keywords,title_latin,date,filename
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=1,Uyğur Avazi,Boyiche admin -,,Uyghur Awazi,14 dekabrya 2011,1.txt
,,http://uyguravazi.kazgazeta.kz/?p=2,Rähbärlik,,,Rehberlik,8 yanvarya 2020,2.txt
,,http://uyguravazi.kazgazeta.kz/?p=6,Tährirat,,,Tehrirat,8 yanvarya 2020,6.txt
,,http://uyguravazi.kazgazeta.kz/?p=8,Memlekettik satıp alu,,,Mémlékéttik satip alu,8 yanvarya 2020,8.txt
,,http://uyguravazi.kazgazeta.kz/?p=10,Alaqä,,,Alaqe,8 yanvarya 2020,10.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=16,Talantliqlarğa munasip baha berildi,Boyiche admin -,,Talantliqlargha munasip baha bérildi,9 yanvarya 2012,16.txt
,,http://uyguravazi.kazgazeta.kz/?p=17,IMG_9037,,,IMG_9037,8 yanvarya 2020,17.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=19,«Ahça ağriğiğa» duçar bolğum kälmäydu,Boyiche admin -,,«Ahcha aghrighigha» duchar bolghum kelmeydu,9 yanvarya 2012,19.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=21,2011-jil — Uyğurlar hayatida,Boyiche admin -,,2011-zhil — Uyghurlar hayatida,9 yanvarya 2012,21.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=24,Jil mälikisi eniqlandi,Boyiche admin -,,Zhil melikisi éniqlandi,9 yanvarya 2012,24.txt
,,http://uyguravazi.kazgazeta.kz/?p=25,miss,,,miss,8 yanvarya 2020,25.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=27,Qährimanğa hšrmät bildürüldi,Boyiche admin -,,Qehrimangha hörmet bildürüldi,9 yanvarya 2012,27.txt
,,http://uyguravazi.kazgazeta.kz/?p=28,A Zaynavdinova,,,A Zaynawdinowa,8 yanvarya 2020,28.txt
,,http://uyguravazi.kazgazeta.kz/?p=29,A Zaynavdinova,,,A Zaynawdinowa,8 yanvarya 2020,29.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=31,Tiläydiğini — yahşiliq-izgülük,Boyiche admin -,,Tileydighini — yahshiliq-izgülük,9 yanvarya 2012,31.txt
